,organ_1,organ_2,organ_3
C9,g.i,musculo-skeletal,sensory changes
C8,g.i,musculo-skeletal,
C11,g.i,musculo-skeletal,
C14,pulmonary,temperature regulation,sensory changes
C16,temperature regulation,g.i,pulmonary
C13,sexual/hormonal function,musculo-skeletal,temperature regulation
C1,cardiovascular,pulmonary,neurological
C12,g.i,cognitive/psych,sensory changes
C15,pulmonary,temperature regulation,musculo-skeletal
C6,musculo-skeletal,sensory changes,neurological
C7,sensory changes,musculo-skeletal,neurological
C10,pulmonary,temperature regulation,neurological
C3,cognitive/psych,cardiovascular,pulmonary
C4,sensory changes,cardiovascular,cognitive/psych
C2,cardiovascular,cognitive/psych,pulmonary
C5,cardiovascular,pulmonary,neurological
