,organ_1,organ_2,organ_3
sinai_emory_C11,Pulmonary,Gastrointestinal,Neurological
sinai_emory_C13,Pulmonary,Gastrointestinal,Temperature Regulation
ucsf_C9,Gastrointestinal,Musculo-Skeletal,
ucsf_C12,Musculo-Skeletal,Neurological,Sensory Changes
ucsf_C13,Temperature Regulation,Gastrointestinal,Pulmonary
ucsf_C1,Pulmonary,Musculo-Skeletal,Neurological
cardiff_C1,Cardiovascular,Neurological,Pulmonary
sinai_emory_C1,Temperature Regulation,Pulmonary,Sexual/Hormonal Function
sinai_emory_C5,Neurological,Temperature Regulation,Sexual/Hormonal Function
ucsf_C10,Gastrointestinal,Neurological,Musculo-Skeletal
cardiff_C12,Gastrointestinal,Neurological,
ucsf_C4,Musculo-Skeletal,Pulmonary,Neurological
ucsf_C2,Pulmonary,Neurological,Gastrointestinal
ucsf_C5,Pulmonary,Neurological,Musculo-Skeletal
ucsf_C7,Pulmonary,Sensory Changes,Neurological
ucsf_C14,Sensory Changes,Neurological,Pulmonary
ucsf_C15,Sensory Changes,Musculo-Skeletal,Gastrointestinal
sinai_emory_C16,Musculo-Skeletal,Sensory Changes,Neurological
cardiff_C13,Neurological,Musculo-Skeletal,Temperature Regulation
sinai_emory_C8,Sensory Changes,Temperature Regulation,Gastrointestinal
sinai_emory_C7,Musculo-Skeletal,Pulmonary,Sensory Changes
sinai_emory_C6,Temperature Regulation,Musculo-Skeletal,Sensory Changes
sinai_emory_C2,Sexual/Hormonal Function,Musculo-Skeletal,Gastrointestinal
sinai_emory_C3,Sexual/Hormonal Function,Temperature Regulation,Musculo-Skeletal
ucsf_C11,Musculo-Skeletal,Neurological,
ucsf_C6,Sexual/Hormonal Function,Sensory Changes,Musculo-Skeletal
ucsf_C8,Gastrointestinal,Musculo-Skeletal,Sensory Changes
ucsf_C3,Sensory Changes,Musculo-Skeletal,Gastrointestinal
sinai_emory_C4,Musculo-Skeletal,Neurological,Sexual/Hormonal Function
cardiff_C2,Cardiovascular,Pulmonary,Neurological
cardiff_C5,Cardiovascular,Pulmonary,Neurological
cardiff_C3,Cardiovascular,Pulmonary,Neurological
cardiff_C4,Neurological,Cardiovascular,Pulmonary
cardiff_C6,Neurological,Sensory Changes,Cardiovascular
cardiff_C7,Neurological,Sensory Changes,Cardiovascular
cardiff_C9,Gastrointestinal,Temperature Regulation,Sensory Changes
cardiff_C11,Neurological,Gastrointestinal,Cardiovascular
cardiff_C15,Neurological,Temperature Regulation,Pulmonary
sinai_emory_C10,Pulmonary,Temperature Regulation,Gastrointestinal
cardiff_C10,Temperature Regulation,Pulmonary,Sensory Changes
sinai_emory_C9,Sexual/Hormonal Function,Temperature Regulation,Musculo-Skeletal
sinai_emory_C12,Sexual/Hormonal Function,Gastrointestinal,Musculo-Skeletal
sinai_emory_C14,Sexual/Hormonal Function,Temperature Regulation,Musculo-Skeletal
sinai_emory_C15,Sexual/Hormonal Function,Temperature Regulation,Musculo-Skeletal
cardiff_C14,Temperature Regulation,Sensory Changes,Pulmonary
cardiff_C8,Neurological,Gastrointestinal,Sensory Changes
cardiff_C16,Gastrointestinal,Temperature Regulation,Sensory Changes
