,organ_1,organ_2,organ_3
C13,Neurological,Sensory Changes,Gastrointestinal
C10,Neurological,Pulmonary,Sensory Changes
C11,Neurological,Pulmonary,Gastrointestinal
C14,Musculo-Skeletal,Neurological,Sexual/Hormonal Function
C9,Musculo-Skeletal,Neurological,Temperature Regulation
C12,Musculo-Skeletal,Gastrointestinal,Sexual/Hormonal Function
C15,Sexual/Hormonal Function,Sensory Changes,Musculo-Skeletal
C1,Pulmonary,Neurological,Sensory Changes
C8,Sensory Changes,Gastrointestinal,Sexual/Hormonal Function
C16,Musculo-Skeletal,Cognitive/Psych,Sensory Changes
C7,Sexual/Hormonal Function,Musculo-Skeletal,Gastrointestinal
C2,Gastrointestinal,Musculo-Skeletal,Sexual/Hormonal Function
C3,Musculo-Skeletal,Temperature Regulation,Sexual/Hormonal Function
C5,Cognitive/Psych,Neurological,
C4,Neurological,Pulmonary,Cognitive/Psych
C6,Temperature Regulation,Neurological,Sensory Changes
