,organ_1,organ_2,organ_3
C16,Gastrointestinal,Temperature Regulation,Sensory Changes
C9,Neurological,Pulmonary,Sensory Changes
C7,Pulmonary,Neurological,Sensory Changes
C11,Neurological,Sensory Changes,Pulmonary
C14,Sexual/Hormonal Function,Sensory Changes,Gastrointestinal
C10,Musculo-Skeletal,Sensory Changes,Sexual/Hormonal Function
C12,Sensory Changes,Sexual/Hormonal Function,Musculo-Skeletal
C13,Musculo-Skeletal,Cognitive/Psych,Temperature Regulation
C5,Musculo-Skeletal,Sensory Changes,Sexual/Hormonal Function
C6,Sexual/Hormonal Function,Gastrointestinal,Musculo-Skeletal
C4,Cognitive/Psych,Sensory Changes,Neurological
C8,Sexual/Hormonal Function,Cognitive/Psych,Neurological
C2,Musculo-Skeletal,Neurological,
C3,Musculo-Skeletal,Sexual/Hormonal Function,Sensory Changes
C1,Pulmonary,Sensory Changes,Neurological
C15,Neurological,Cognitive/Psych,Sensory Changes
